YEAR	MONTH	DAY	DAY_OF_WEEK	AIRLINE	FLIGHT_NUMBER	TAIL_NUMBER	ORIGIN_AIRPORT	DESTINATION_AIRPORT	SCHEDULED_DEPARTURE	DEPARTURE_DELAY	ARRIVAL_DELAY	CANCELLED
2015	1	1	4	DL	1181	N899AT	ATL	HSV	1405	-2	-14	0
2015	1	1	4	DL	1508	N920AT	ATL	HSV	1706	-4	-15	0
2015	1	1	4	DL	201	N896AT	ATL	IAD	905	3	-4	0
2015	1	1	4	DL	1125	N975AT	ATL	IAD	1334	4	2	0
2015	1	1	4	DL	1195	N896AT	ATL	IAD	1515	0	-2	0
2015	1	1	4	DL	942	N926DL	ATL	IAD	2155	2	-11	0
2015	1	1	4	DL	55	N953AT	ATL	IAH	810	-1	-10	0
2015	1	1	4	DL	1489	N970AT	ATL	IAH	1344	-1	1	0
2015	1	1	4	DL	1342	N893AT	ATL	IAH	1455	24	25	0
2015	1	1	4	DL	1292	N342NW	ATL	IAH	1600	9	10	0
2015	1	1	4	DL	2249	N960AT	ATL	IAH	1725	-3	-13	0
2015	1	1	4	DL	1572	N312US	ATL	IAH	1930	5	2	0
2015	1	1	4	DL	1870	N935AT	ATL	ICT	915	-1	-9	0
2015	1	1	4	DL	1064	N934AT	ATL	ICT	1430	-4	-28	0
2015	1	1	4	DL	1352	N909DL	ATL	ICT	1923	7	24	0
2015	1	1	4	DL	1138	N912DL	ATL	IND	1025	-3	-20	0
2015	1	1	4	DL	1613	N935DN	ATL	IND	1205	0	-6	0
2015	1	1	4	DL	1534	N973DL	ATL	IND	1340	-1	-7	0
2015	1	1	4	DL	2433	N993DL	ATL	IND	1655	-1	-16	0
2015	1	1	4	DL	1261	N985DL	ATL	IND	1855	-1	-16	0
2015	1	1	4	DL	1535	N923DN	ATL	IND	2044	-2	-11	0
2015	1	1	4	DL	1344	N684DA	ATL	JAC	944	-3	-25	0
2015	1	1	4	DL	1228	N953AT	ATL	JAN	1216	-3	-15	0
2015	1	1	4	DL	1663	N304DQ	ATL	JAN	1947	-3	-11	0
2015	1	1	4	DL	2380	N908DA	ATL	JAX	826	-5	-11	0
2015	1	1	4	DL	1258	N955DN	ATL	JAX	955	-3	-7	0
2015	1	1	4	DL	1052	N928DL	ATL	JAX	1105	-3	-8	0
2015	1	1	4	DL	2342	N916DN	ATL	JAX	1305	9	-2	0
